Sample ID,lake,SPECIES,SL,d13C,d15N,
CP-204,CP,bozo,2.796,-15.53861983,10.51752335,*bozo=original provisional species name for Cyprinodon brontotheroides
CP-211,CP,bozo,3.065,-15.364167,10.50723833,*bulldog=original provisional species name for Cyprinodon desquamator
CP-220,CP,bozo,2.103,-14.88781026,11.08175745,*normal=original provisional species names for Cyprinodon variegatus on San Salvador Island
CP-266,CP,bozo,2.255,-15.2268147,9.446103051,
CP-267,CP,bozo,2.136,-14.53225646,9.879504519,
CP-300,CP,bozo,1.685,-13.82022452,9.122144258,
CP-304,CP,bozo,2.41,-15.71185147,10.20005328,
CP-314,CP,bozo,2.045,-15.11459319,9.733974043,
CP-319,CP,bozo,2.623,-16.24479577,10.35575619,
CP-322,CP,bozo,2.018,-14.67520212,8.754144079,
CP-331,CP,bozo,1.698,-15.01771169,10.17204581,
CP-347,CP,bozo,1.853,-15.99767101,9.947141199,
CP-367,CP,bozo,2.388,-15.45304819,10.40019856,
CP-385,CP,bozo,1.998,-15.10899615,9.681598158,
CP-387,CP,bozo,2.135,-14.44317544,9.72176444,
CP-401,CP,bozo,2.613,-16.52746919,10.19977886,
CP-431,CP,bozo,2.455,-15.00344814,10.87072133,
LL-224,LL,bozo,2.553,-12.94146907,15.58167544,
LL-265,LL,bozo,2.644,-12.92850373,16.23590183,
LL-274,LL,bozo,2.4,-11.94948999,14.42489817,
LL-286,LL,bozo,2.535,-12.90125493,14.06648124,
LL-317,LL,bozo,2.272,-11.48886336,14.24286623,
LL-322,LL,bozo,2.318,-13.41993715,16.00611033,
LL-345,LL,bozo,2.393,-11.52622735,13.49731112,
LL-373,LL,bozo,2.518,-14.0593835,15.15552401,
CP-221,CP,bulldog,1.76,-14.57071912,7.148701836,
CP-328,CP,bulldog,1.978,-13.39680565,10.71777622,
CP-332,CP,bulldog,2.045,-14.0709659,10.31042555,
CP-333,CP,bulldog,1.75,-13.76550751,8.445360435,
CP-351,CP,bulldog,1.895,-13.17799674,10.8071011,
CP-356,CP,bulldog,1.992,-14.12780934,10.42670561,
CP-369,CP,bulldog,1.825,-13.98080343,7.885501848,
CP-379,CP,bulldog,2.094,-13.75851732,9.453291654,
CP-384,CP,bulldog,1.505,-13.95743077,8.695856111,
CP-394,CP,bulldog,1.718,-11.96023821,10.88197596,
CP-400,CP,bulldog,2.143,-13.50096039,10.92849991,
CP-403,CP,bulldog,2.11,-14.35417113,11.95064731,
CP-418,CP,bulldog,2.053,-14.04054733,11.89145054,
CP-419,CP,bulldog,1.712,-14.99992744,7.861164882,
CP-446,CP,bulldog,2.04,-13.84345267,11.24195847,
CP-498,CP,bulldog,1.609,-12.68502363,10.98654424,
LL-181,LL,bulldog,2.863,-11.61767079,17.94129326,
LL-192,LL,bulldog,2.658,-11.44757469,16.63604925,
LL-197,LL,bulldog,2.798,-12.20965044,17.68414903,
LL-212,LL,bulldog,2.5,-11.11148669,16.39546542,
LL-218,LL,bulldog,2.633,-11.21536466,17.22352987,
LL-344,LL,bulldog,2.545,-11.51250516,17.56015213,
CP-201,CP,normal,3.82,-17.11697204,8.894510134,
CP-215,CP,normal,2.508,-16.01459446,10.12697971,
CP-228,CP,normal,2.338,-16.35359268,9.918986245,
CP-241,CP,normal,3.655,-17.72146317,9.281439734,
CP-247,CP,normal,2.433,-13.31382347,9.385773127,
CP-251,CP,normal,3.698,-17.14514058,9.404526041,
CP-298,CP,normal,2.472,-15.12178309,8.745570724,
CP-309,CP,normal,2.578,-16.99408994,8.922026763,
CP-310,CP,normal,2.655,-15.78675236,9.632377868,
CP-318,CP,normal,3.668,-16.60838366,9.213525077,
CP-364,CP,normal,3.092,-16.28196405,8.899270519,
CP-H-180,CP,normal,2.486,-16.24936496,8.66956331,
CP-H-182,CP,normal,3.254,-17.53445887,9.263166849,
CP-H-183,CP,normal,3.085,-14.66218849,9.36959172,
CP-H-194,CP,normal,2.526,-17.09479421,8.214718205,
LL-177,LL,normal,2.922,-13.52581183,14.45951358,
LL-182,LL,normal,2.584,-13.05185522,14.89076248,
LL-185,LL,normal,2.905,-12.77367631,15.67859426,
LL-193,LL,normal,2.556,-12.44050241,13.89102669,
LL-230,LL,normal,2.508,-11.48976274,11.43714542,
LL-239,LL,normal,3.21,-13.16123725,15.4526048,
LL-268,LL,normal,2.586,-12.83127507,15.12284672,
LL-285,LL,normal,2.41,-12.61113161,15.38717754,
LL-300,LL,normal,2.952,-13.02999772,14.17610501,
LL-316,LL,normal,2.275,-12.77945841,14.94956922,
LL-335,LL,normal,2.905,-13.29038466,16.13205486,
LL-338,LL,normal,2.44,-12.42447285,14.00965466,
LL-347,LL,normal,2.81,-12.69261947,15.50204479,
LL-348,LL,normal,2.818,-12.94583962,14.6167891,
LL-370,LL,normal,2.765,-12.99147052,14.73860751,
LL-371,LL,normal,2.61,-12.61415659,14.73801064,
CP-batophora1,CP,macroalgae-batophora,,-19.27733599,7.171175729,
CP-seagrass1,CP,wigeongrass,,-12.90462782,10.85383186,
CP-snail1,CP,snail,,-10.0487001,6.534499106,
CP-snail2,CP,snail,,-16.10352856,6.386694446,
LL-batophora1,LL,macroalgae-batophora,,-15.86562947,12.84759597,
LL-seagrass1,LL,wigeongrass,,-12.70412224,7.14634496,
LL-snail1,LL,snail,,-13.32802982,9.379292245,
LL-snail2,LL,snail,,-14.19985569,10.01383189,
LL-snail3,LL,snail,,-14.50255618,10.24562214,
